id,origin_airport,origin_airport_name,origin_city,origin_state,origin_latitude,origin_longitude,mean_arrival_delay,flight_count,mean_delay_time_per_flight,orig_count_early_flights,mean_early_arrival_time,orig_count_delayed_flights,mean_arrival_delay_time,percent_early_flights,percent_delayed_flights,mean_early_arrival_time_per_flight,mean_arrival_delay_time_per_flight
1,ABE,Lehigh Valley International Airport,Allentown,PA,40.652359999999994,-75.4404,6.280210867802109,2513,0.0024990890838846435,1502,-11.83155792276964,914,36.38730853391685,59.76920015917231,36.370871468364506,-0.4708140836756722,1.4479629340993574
2,ABI,Abilene Regional Airport,Abilene,TX,32.41132,-99.6819,2.5369376805612878,2530,0.001002742166229758,1663,-13.479254359591101,718,39.78133704735376,65.73122529644269,28.379446640316207,-0.5327768521577511,1.5723848635317692
3,ABQ,Albuquerque International Sunport,Albuquerque,NM,35.04022,-106.60918999999998,4.414322250639386,21008,0.00021012577354528685,12658,-11.425659661873913,7566,31.205921226539783,60.25323686214775,36.01485148514851,-0.05438718422445694,0.148543037064641
4,ABR,Aberdeen Regional Airport,Aberdeen,SD,45.449059999999996,-98.42183,9.027285129604365,742,0.012166152465774077,430,-9.809302325581395,275,39.4,57.95148247978437,37.06199460916442,-1.3220083996740426,5.309973045822102
5,ABY,Southwest Georgia Regional Airport,Albany,GA,31.53552,-84.19447,7.8844537815126055,963,0.008187387104374461,582,-9.206185567010309,347,37.07204610951008,60.43613707165109,36.033229491173415,-0.955990193874383,3.8496413405514103
6,ACK,Nantucket Memorial Airport,Nantucket,MA,41.25305,-70.06018,10.346978557504872,520,0.01989803568750937,325,-14.267692307692307,176,56.50568181818182,62.5,33.84615384615385,-2.7437869822485204,10.866477272727273
7,ACT,Waco Regional Airport,Waco,TX,31.611290000000004,-97.23052,3.21143537820131,1760,0.0018246791921598352,1155,-13.27099567099567,482,42.98755186721991,65.625,27.386363636363637,-0.7540338449429358,2.4424745379102224
8,ACV,Arcata Airport,Arcata/Eureka,CA,40.978120000000004,-124.10862,7.962509012256669,1442,0.005521850910025429,878,-12.833712984054669,486,45.90946502057613,60.887656033287094,33.70319001386963,-0.88999396560712,3.1837354383201197
9,ACY,Atlantic City International Airport,Atlantic City,NJ,39.45758,-74.57717,7.858695652173913,3820,0.002057250170726155,2233,-11.253022839229736,1479,37.03245436105477,58.45549738219895,38.717277486910994,-0.2945817497180559,0.9694359780380829
10,ADK,Adak Airport,Adak,AK,51.877959999999995,-176.64603,11.824742268041238,105,0.11261659302896417,35,-14.8,61,27.295081967213115,33.33333333333333,58.0952380952381,-14.095238095238097,25.995316159250585
11,ADQ,Kodiak Airport,Kodiak,AK,57.74997,-152.49386,1.8731182795698924,491,0.0038149048463745265,277,-9.938628158844764,171,21.19298245614035,56.41547861507128,34.82688391038696,-2.0241605211496467,4.316289705934898
12,AEX,Alexandria International Airport,Alexandria,LA,31.327370000000002,-92.54856,8.24249699879952,3428,0.0024044623683779232,1987,-12.027679919476597,1269,40.47517730496454,57.96382730455076,37.018669778296385,-0.350865808619504,1.180722791860109
13,AGS,Augusta Regional Airport (Bush Field),Augusta,GA,33.36996,-81.9645,7.975467289719626,2584,0.003086481149272301,1388,-9.452449567723344,1102,30.49092558983666,53.71517027863777,42.64705882352941,-0.36580687181591887,1.1799893804116355
14,AKN,King Salmon Airport,King Salmon,AK,58.6768,-156.64921999999999,4.349206349206349,63,0.06903502141597379,30,-8.8,32,16.8125,47.61904761904761,50.79365079365079,-13.968253968253968,26.686507936507937
15,ALB,Albany International Airport,Albany,NY,42.74812,-73.80298,-2.24549857196076,8193,-0.0002740752559454119,5732,-15.991625959525472,2186,33.660109789569994,69.96216282192115,26.681313316245575,-0.195186451355126,0.41083986072952516
16,ALO,Waterloo Regional Airport,Waterloo,IA,42.55708,-92.40034,-0.5031347962382445,674,-0.0007464907956057041,454,-16.433920704845814,173,41.27167630057804,67.35905044510386,25.667655786350146,-2.4382671668910705,6.123394109878047
